rep,expt.design,evidence,useful,clarity,precise.case,grade,percent
1,rules,4,4,3,5,16,0.8
2,rules,5,4,4,4,17,0.85
3,rules,4,4,4,4,16,0.8
4,rules,4,4,4,4,16,0.8
5,rules,4,4,5,4,17,0.85
6,rules,4,3,4,4,15,0.75
7,infographic,4,5,5,4,18,0.9
8,rules,5,5,4,4,18,0.9
9,rules,4,3,4,4,15,0.75
10,rules,4,4,3,4,15,0.75
10,rules,4,4,4,4,16,0.8
12,table,3,4,4,4,15,0.75
13,rules,3,3,4,4,14,0.7
14,rules,3,3,4,4,14,0.7
15,rules,4,4,3,4,15,0.75
16,rules,5,5,5,4,19,0.95
17,decision.tree,4,5,4,4,17,0.85
